0,1,2,3,4,5,6,7,8,9
15.4710408718597,19.416994739003783,20.760379683143615,24.827505106282526,30.0,29.73411686413934,29.67855933903202,25.438845242704595,22.523491114894377,18.75010821670726
16.144992366405123,19.673001215705757,21.42300550499739,23.510292489765714,22.089877515941293,21.621067257463682,21.88869592552539,21.116303834092513,23.989495761154217,25.974328291593814
22.818338600598924,25.80282108578918,23.790638297941634,23.286231067100058,21.629977523834345,23.35104297589282,22.26226348177931,22.386144388702185,18.918147165354213,16.345033352656657
16.978933102062314,21.705784834987917,25.37128895299335,26.56330134276599,30.0,27.959886492459493,25.377559558274285,26.55382495872718,27.62621569512222,30.0
22.007154082152155,24.303463872958442,28.94298127296512,28.31894209058969,30.0,23.27484619726643,24.774068632747117,28.890937409379404,28.660241505949053,25.931235655029987
16.657447977782923,19.96428241608611,20.925934954490288,23.09794250018918,22.42086331979994,25.934881365978743,26.66058708679685,24.771664835559893,25.835303734454218,23.630791157105108
17.67497995388691,23.974966843785936,25.884227092508535,24.989743376642245,24.364741004408312,25.35062538847351,25.1049319935709,26.515145389293345,27.7107732889908,30.0
20.680614680722346,18.15754998488469,22.508321741686643,25.907237305463877,24.863618834736847,27.808108123939096,29.05835644866782,29.015922684104915,30.0,28.164636747258296
19.458250283585784,24.378121462894168,28.32732785307307,22.389030712776858,29.586385037589807,28.585553612494895,21.574319603094565,21.138031162090506,26.420424750537165,25.566778473813603
19.98399187856279,19.40384058439131,24.464235235987818,25.737610431706766,29.946373444266555,30.0,27.028219298883776,29.059392681869905,30.0,27.90372534559873
21.46027891507768,21.245918625192886,24.518177417233144,27.687066668218357,27.422027124438983,26.427678925502114,27.201113363971903,30.0,30.0,30.0
15.596075442048255,19.22934265126242,19.282555234444267,20.427208930590762,23.262054917601855,21.452597367291343,18.79345490748656,18.945767465958323,20.82165772742172,20.650075084359266
17.989768671675385,24.219532750402237,25.406410902780777,28.501336895165586,27.038599333854958,28.728091315098354,29.362193979555126,24.915346678656856,27.693496341856868,23.393970811840248
15.898684800310212,18.305876873115736,24.826199792951876,22.964602545330152,28.179085185739893,29.847481926906653,29.37944149035664,30.0,27.944976276265706,26.052860973514235
21.059261601480596,22.501273010142626,25.34447224430956,30.0,29.815576328199796,29.473181350414446,27.791605036762082,21.585845113987737,22.971372401401215,21.545306230726155
